region,year,quartile,km,value
western europe,2021,Q1,2500,35
western europe,2022,Q1,2500,35
western europe,2023,Q1,2500,35
western europe,2024,Q1,2500,35
western europe,2025,Q1,2500,35
western europe,2026,Q1,2500,35
western europe,2027,Q1,2500,35
western europe,2028,Q1,2500,35
western europe,2029,Q1,2500,35
western europe,2030,Q1,2500,35
western europe,2031,Q1,2500,35
western europe,2032,Q1,2500,35
western europe,2033,Q1,2500,35
western europe,2034,Q1,2500,35
western europe,2035,Q1,2500,35
western europe,2036,Q1,2500,35
western europe,2037,Q1,2500,35
western europe,2038,Q1,2500,35
western europe,2039,Q1,2500,35
western europe,2040,Q1,2500,35
western europe,2021,Q2,10000,35
western europe,2022,Q2,10000,35
western europe,2023,Q2,10000,35
western europe,2024,Q2,10000,35
western europe,2025,Q2,10000,35
western europe,2026,Q2,10000,35
western europe,2027,Q2,10000,35
western europe,2028,Q2,10000,35
western europe,2029,Q2,10000,35
western europe,2030,Q2,10000,35
western europe,2031,Q2,10000,35
western europe,2032,Q2,10000,35
western europe,2033,Q2,10000,35
western europe,2034,Q2,10000,35
western europe,2035,Q2,10000,35
western europe,2036,Q2,10000,35
western europe,2037,Q2,10000,35
western europe,2038,Q2,10000,35
western europe,2039,Q2,10000,35
western europe,2040,Q2,10000,35
western europe,2021,Q3,20000,20
western europe,2022,Q3,20000,20
western europe,2023,Q3,20000,20
western europe,2024,Q3,20000,20
western europe,2025,Q3,20000,20
western europe,2026,Q3,20000,20
western europe,2027,Q3,20000,20
western europe,2028,Q3,20000,20
western europe,2029,Q3,20000,20
western europe,2030,Q3,20000,20
western europe,2031,Q3,20000,20
western europe,2032,Q3,20000,20
western europe,2033,Q3,20000,20
western europe,2034,Q3,20000,20
western europe,2035,Q3,20000,20
western europe,2036,Q3,20000,20
western europe,2037,Q3,20000,20
western europe,2038,Q3,20000,20
western europe,2039,Q3,20000,20
western europe,2040,Q3,20000,20
western europe,2021,Q4,40000,10
western europe,2022,Q4,40000,10
western europe,2023,Q4,40000,10
western europe,2024,Q4,40000,10
western europe,2025,Q4,40000,10
western europe,2026,Q4,40000,10
western europe,2027,Q4,40000,10
western europe,2028,Q4,40000,10
western europe,2029,Q4,40000,10
western europe,2030,Q4,40000,10
western europe,2031,Q4,40000,10
western europe,2032,Q4,40000,10
western europe,2033,Q4,40000,10
western europe,2034,Q4,40000,10
western europe,2035,Q4,40000,10
western europe,2036,Q4,40000,10
western europe,2037,Q4,40000,10
western europe,2038,Q4,40000,10
western europe,2039,Q4,40000,10
western europe,2040,Q4,40000,10
china,2021,Q1,2500,25
china,2022,Q1,2500,25
china,2023,Q1,2500,25
china,2024,Q1,2500,25
china,2025,Q1,2500,25
china,2026,Q1,2500,25
china,2027,Q1,2500,25
china,2028,Q1,2500,25
china,2029,Q1,2500,25
china,2030,Q1,2500,25
china,2031,Q1,2500,25
china,2032,Q1,2500,25
china,2033,Q1,2500,25
china,2034,Q1,2500,25
china,2035,Q1,2500,25
china,2036,Q1,2500,25
china,2037,Q1,2500,25
china,2038,Q1,2500,25
